Industry,Company,Twitter_Handle,Begin Date,End date,Actual Date,Topic,Reply,Reply_date,Reaction Time,apology,actions,rebound_incident,rebound_apology
SocialNetwork,Snapchat,SnapChat,9/6/2015,9/16/2015,9/11/2015,Creativity,"The advert was reviewed and approved in error, as it violates our advertising guidelines",9/15/2015,4,0,,,
Airlines,Air China,"airchina, racism",9/2/2016,9/12/2016,9/7/2016,Racial,We regret and apologize for the offensive language contained in the current issue of our in-flight magazine .Copies of this magazine have been or are being removed from all our flights,9/8/2016,2,1,1,3,2
Automobile,Nissan,nissan and CarlosGhosn,3/31/2019,4/9/2019,4/4/2019,Misconduct,We would like to apologize for any inconvenience caused by the financial misconduct,6/24/2019,81,1,,,
SocialNetwork,SnapChat1,#snappening,9/6/2015,9/16/2015,9/11/2015,Databreach,"We can confirm that Snapchat's servers were never breached and were not the source of these leaks. Snapchatters were victimized by their use of third-party apps to send and receive Snaps, a practice that we expressly prohibit in our Terms of Use precisely because they compromise our users' security",10/10/2014,1,0,1,2,1
Automobile,Volkswagen,Volkswagen and recall ,9/15/2015,9/30/2015,9/18/2019,Misconduct,"I am deeply sorry we have broken this trust. I would like to make a formal apology to our customers, to the authorities, and to the general public for this misconduct",9/22/2015,-1457,1,,,
Outfit&Accessories,Gucci,Gucci  OR blackface ,2/1/2019,2/11/2019,2/7/2019,Racial,"Gucci deeply apologizes for the offense caused by the wool balaclava jumper. We consider diversity to be a fundamental value to be fully upheld, respected, and at the forefront of every decision we make. Full statement below",2/8/2019,1,1,0,3,2
Beauty,Sephora,(to:Sephora) until:2019-05-4 since:2019-04-28,4/28/2019,5/4/2019,4/30/2019,Racial,"You are a part of the Sephora family, and we are committed to ensuring every member of our community feels welcome and included at our stores.",5/1/2019,1,1,1,5,4
Beauty,SeoulSecret,(#seoulsecret) lang:en until:2016-01-11 since:2016-01-5,1/3/2016,1/13/2016,1/8/2016,Racial,"Seoul Secret, as the rightful owner of the video clip, would like to apologize for the mistake, and claim full responsibility for this incident. Our company did not have any intention to convey discriminatory or racist messages",1/8/2016,0,1,0,2,1
Outfit&Accessories,Nike,nike and ZionWilliamson,2/15/2019,2/25/2019,2/20/2019,Malfunction,"We are obviously concerned and want to wish Zion a speedy recovery. The quality and performance of our products are of utmost importance. While this is an isolated occurrence, we are working to identify the issue",2/21/2019,1,0,,,
Outfit&Accessories,H&M,HM and CharlesMBlow ,1/2/2018,1/12/2018,1/7/2018,Racial,We sincerely apologize for offending people with this image of a printed hooded top. The image has been removed from all online channels and the product will not be for sale in the United States,1/8/2018,1,1,1,2,1
Electronic,Sony,sonyhack,11/19/2014,11/29/2014,11/24/2014,Databreach,We are investigating an IT matter,11/25/2014,1,0,0,1,0
Product,HomeDepot,#homedepot,8/29/2014,9/9/2014,9/3/2014,Databreach,"We apologize for the frustration and anxiety this causes our customers, and I want to thank them for their patience and support as we work through this issue",9/8/2014,5,1,0,2,1
Electronic,Huawei,huawei and meng wanzhou ,5/3/2019,5/13/2019,5/8/2019,Misconduct,"The company denies that it or its subsidiary or affiliate have committed any of the asserted violations of U.S. law set forth in each of the indictments, is not aware of any wrongdoing by Ms Meng, and believes the U.S. courts will ultimately reach the same conclusion",5/8/2019,0,0,,,
Electronic,Apple,apple and slow ,11/26/2017,12/6/2017,1/1/2017,Malfunction,"We know that some of you feel Apple has let you down. We apologize. There’s been a lot of misunderstanding about this issue, so we would like to clarify and let you know about some changes we’re making",12/28/2017,361,1,,,
Beauty,Nivea,niveaus,3/26/2017,4/6/2017,3/31/2017,Racial,The NIVEA Middle East post was not meant to be offensive. We apologize. It’s been removed. NIVEA values diversity and tolerance,4/3/2017,3,1,1,5,3
Hospitality,Marriott,#marriotthack,11/27/2018,12/6/2018,11/30/2018,Databreach,"We deeply regret this incident happened. We fell short of what our guests deserve and what we expect of ourselves.  We are doing everything we can to support our guests, and using lessons learned to be better moving forward",11/30/2018,0,1,1,3,0
Beauty,Shea Moisturizer,(#SheaMoisture OR AllLivesMatter) ,4/19/2017,4/29/2017,4/24/2017,Racial,"Wow, okay — so guys, listen, we really f-ed this one up. Please know that our intention was not — and would never be — to disrespect our community, and as such, we are pulling this piece immediately because it does not represent what we intended to communicate ",4/25/2017,1,1,1,3,2
Electronic,Samsung,#Galaxynote7,9/7/2016,10/16/2016,9/12/2016,Malfunction,"#GalaxyNote7 Safety Recall: Exchange at your carrier for a new Note7, Galaxy S7, S7 edge or to get a refund. http://smsng.us/N7Recall",9/15/2016,3,,,,
SocialNetwork,Yahoo,#yahoo #databreach,9/18/2016,9/28/2016,9/22/2016,Databreach,information associated with at least 500 million user accounts was stolen,9/22/2016,0,0,0,2,2
Food,WholeFoods,WholeFoods,3/1/2016,3/10/2016,3/4/2016,Wastage,"mistake, These have been pulled. We hear you, and we will leave them in their natural packaging: the peel",3/3/2016,-1,,,,
Food,KFC,KFCCrisis,2/15/2018,2/25/2018,2/18/2018,Shortage,"FCK, A chicken restaurant without any chicken. It's not ideal, Huge apologies to our customers, especially those who travelled out of their way to find we were closed, It's been a hell of a week, but we're making progress, and every day more and more fresh chicken is being delivered to our restaurants. Thank you for bearing with us",1/0/1900,-43149,,,,
Food,StarBucks1,MerryChristmasStarbucks,11/5/2015,11/25/2015,11/9/2015,Creativity,This year’s design is another way we are inviting our customers to create their own stories on our cups,11/8/2015,-1,,,,
Food,StarBucks2,Starbucks,4/10/2018,4/24/2018,4/14/2018,Racial,"I personally apologize to the two gentlemen who visited our store, it was completely inappropriate to engage the police, I know it’s easy for me to say and point blame to one person in this incident [but] my responsibility is to look more broadly… to ensure this never happens again, This is not who we are, and not who we are going to be",4/15/2018,1,1,1,3,2
Food,Pepsi,pepsi,4/1/2017,4/14/2017,4/4/2017,Marketing,"Pepsi was trying to project a global message of unity, peace and understanding, Clearly, we missed the mark and apologize. We are pulling the content and halting any further rollout. We also apologize for putting Kendall Jenner in this position.",4/6/2017,2,,,,
Food,Crockpot,CrockPotCares,1/20/2018,1/30/2018,1/24/2018,Victim,"You need a hug and a good cry, America, and that’s what ‘This Is Us’ was made for",1/24/2018,0,,,,
Food,Cuisinart,cuisinartrecall,12/10/2016,12/20/2016,12/13/2016,Safety,"we're very sorry for the inconvenience, were you able to get through the form",12/13/2016,0,,,,
Food,Chipotle ,chipotleecoli,12/9/2015,12/19/2015,12/11/2015,Hygiene,The fact that anyone has become ill eating at Chipotle is completely unacceptable to me and I am deeply sorry,12/16/2016,371,,,,
Food,Morrison's Milk,milkforfarmers,8/4/2015,8/14/2015,8/8/2015,Price,Morrisons will sell a new milk brand which will see 10p per litre extra paid to farmers,8/9/2015,1,,,,
Food,Ihop,IHOP,6/1/2018,6/14/2018,6/7/2018,Identity,"We’re giving away 60¢ short stacks on July 17 from 7a-7p for IHOP’s 60th birthday. That’s right, IHOP! We’d never turn our back on pancakes (except for that time we faked it to promote our new burgers)",6/9/2018,2,,,,
Bank,WellsFargo,WellsFargoFraud,8/25/2016,9/7/2016,9/1/2016,,"We apologize to everyone who was harmed by unacceptable sales practices that occurred in our retail bank, To rebuild trust and to build a better Wells Fargo, our first priority is to make things right for our customers, and the completion of this expanded third-party analysis is an important milestone. Through this expanded review, as well as the class action settlement, free mediation services, and ongoing outreach and complaint resolution, we’ve cast a wide net to reach customers and address their remaining concerns.",8/31/2016,-1,,,,
Bank,GoldmanSachs,(#1MDB OR #GoldmanSachs) lang:en until:2018-12-10 since:2018-12-03,12/3/2018,12/10/2018,12/3/2018,,"Certain members of the former Malaysian government and 1MDB lied to Goldman Sachs, outside counsel and others about the use of proceeds from these transactions",12/17/2018,14,,,,
Bank,Zenefits,Zenefits,2/1/2016,2/10/2016,2/5/2016,,"We have terminated leaders who created, propagated and encouraged use of the Macro, and we will take additional disciplinary steps as necessary to address the issue",2/11/2016,6,,,,
Airlines,British Airways,BritishAirways,5/25/2017,6/5/2017,5/27/2017,FlightDelay,A BA spokeswoman said: “We are working hard to get our customers who were due to fly today on to the next available flights over the course of the rest of the weekend. Those unable to fly will be offered a full refund.”,5/27/2017,0,,,,
Airlines,Southwest Airlines,SouthwestAir,4/14/2018,4/24/2018,4/17/2018,EmergencyLanding,We are deeply saddened to confirm that there is one fatality resulting from this accident,4/17/2018,0,,,,
Airlines,Cebu pacific,CebuPacificAir,6/25/2016,7/5/2016,6/30/2016,FlightDelay,"CEB Advisory: Ongoing re-accommodation of passengers on diverted Dubai-Manila flight 5J 015.As of July 3, 2016; 11:00AM (Philippine time; GMT+8).Cebu Pacific flight 5J015 Dubai – Manila undertook a precautionary diversion to the Chhatrapati Shivaji International Airport in Mumbai, India at 10:40AM on June 29, 2016 due to a technical requirement of the assigned aircraft.ll passengers of 5J015 have been re-accommodated on other airlines, and are expected to arrive in Manila today. While in Mumbai, passengers were provided hotel accommodation, meals, and transfers, as CEB finalized the onward travel for each passenger. CEB’s Customer Care team is also reaching out directly to all affected passengers to provide further support, and to address any concerns they may have even after their arrival in Manila. The aircraft that diverted to Mumbai was a two-year-old Airbus A330. CEB is in discussion with Airbus and Rolls Royce, the engine manufacturer, and the aircraft will undergo thorough maintenance inspection prior to re-entering service. We sincerely regret the inconvenience the diversion has caused our passengers, and hope for their understanding as safety remains our priority.",6/30/2016,0,,,,
Airlines,Southwest Airlines Laguardia,#southwest AND #Laguardia until:2013-7-25since:2013-7-23,7/20/2013,7/30/2013,7/23/2013,Aircrash,"On October 2, 2013, Southwest Airlines announced that it had fired Flight 345's captain. The airline also announced that it was requiring Flight 345's first officer to undergo additional training.",10/2/2013,71,,,,
Airlines,Lufthansa,#GermanWingsCrash,3/20/2015,3/30/2015,3/24/2015,Aircrash,"I continue to fully trust our pilots, they are and remain the best in the world, that's what we believe in Lufthansa. he said. ""They are a very important part of our brand.""",3/26/2015,2,,,,
Outfit&Accessories,Nike,Nike,8/31/2018,9/10/2018,9/3/2018,,"This is a company that's not afraid to take sides, said Tom Stringfellow, chief investment officer with Frost Investment Advisors. ""It's part of the brand to be controversial and get their name out there.""",9/5/2018,2,,,,
Financial Services,Equifax,Equifax,8/27/2017,9/17/2017,9/7/2017,Databreach,"This is clearly a disappointing event for our company, and one that strikes at the heart of who we are and what we do. I apologize to consumers and our business customers for the concern and frustration this causes, said Chairman and Chief Executive Officer, Richard F. Smith. ""We pride ourselves on being a leader in managing and protecting data, and we are conducting a thorough review of our overall security operations.  We also are focused on consumer protection and have developed a comprehensive portfolio of services to support all U.S. consumers, regardless of whether they were impacted by this incident.""",9/7/2017,0,1,0,3,3
Airlines,United Airlines,boycottunited,4/8/2017,4/20/2017,4/9/2017,Misconduct ,“This is an upsetting event to all of us here at United. I apologize for having to re-accommodate these customers. Our team is moving with a sense of urgency to work with the authorities and conduct our own detailed review of what happened.”,4/10/2017,1,,,,
SocialNetwork,Slack,Slack and databreach,3/25/2015,4/5/2015,3/27/2015,Databreach,"Our investigation, which remains ongoing, has revealed that this unauthorized access took place during a period of approximately 4 days in February. As soon as the evidence was uncovered, we started communication with the affected teams. The announcement was made as soon as we could confirm the details and as fast as we could type, Slack said in a statement.",3/27/2015,0,0,0,1,0
Product,Target,Target,12/15/2013,12/27/2013,12/19/2013,Databreach,"To provide guests with extra assurance, we will be offering free credit monitoring services, Steinhafel said. ""We will be in touch with those impacted by this issue soon on how and where to access the service.""",12/21/2013,2,0,1,2,0
SocialNetwork,GitLab,GitLab,1/25/2017,2/5/2017,1/31/2017,Databreach,We accidentally deleted production data and might have to restore from backup. Google Doc with live notes ,1/31/2017,0,0,0,5,4
Automobile,General Motors,GeneralMotors,1/26/2014,2/8/2014,2/12/2014,Malfunction,"On April 1, 2014, GM CEO Mary Barra appeared before Congress and said that the company had once been too focused on cutting costs — but has since changed. ""In the past,"" she said, ""we had more of a cost culture, and now we have a customer culture that focuses on safety and quality.""",4/1/2014,48,,,,
Product,Tide,Tide,1/5/2018,1/15/2018,1/10/2018,,"We are deeply concerned, the company told CNN in a statement Thursday. ""Nothing is more important to us than the safety of people who use our products. ""All the right people at P&G are engaged and there is a significant amount of work taking place behind the scenes,"" P&G spokesman Damon Jones said. ""We're confident these efforts and others in the future will help people take safety more seriously and use our products safely.""",1/18/2018,8,,,,
Products,Neiman Marcus,#NeimanMarcus,1/1/2014,1/21/2014,1/11/2014,Databreach,"“We deeply regret and are very sorry that some of our customers’ payment cards were used fraudulently after making purchases at our stores,” Katz said in a letter to the store’s customers. “We want you always to feel confident shopping at Neiman Marcus, and your trust in us is our absolute priority.”",1/16/2014,5,1,0,3,1
Products,Michaels,#Michaels,1/20/2014,1/25/2014,1/30/2014,Databreach,"Although the investigation is ongoing, based on the information the company has received and in light of the widely-reported criminal efforts to penetrate the data systems of U.S. retailers, Michaels believes it is appropriate to let its customers know a potential issue may have occurred",1/25/2014,5,0,1,2,1
Products,Abine,#Abine until:2019-01-20 since:2018-12-10,12/30/2018,1/20/2019,12/31/2018,Databreach,https://www.abine.com/blog/2018/blur-security-update/,12/31/2018,1,1,0,2,2
SocialNetwork,Adult friend Finder ,AdultFriendFinder,10/9/2016,10/29/2016,10/19/2016,Databreach,"""Over the past several weeks, FriendFinder has received a number of reports regarding potential security vulnerabilities from a variety of sources. Immediately upon learning this information, we took several steps to review the situation and bring in the right external partners to support our investigation,"" said Diana Ballou, vice president and senior counsel, in an email on Friday.",1/2/2018,1,0,0,8,8
Products,BlankMediaGames,(to:BlankMediaGames) until:2019-01-20 since:2019-01-01,1/1/2019,1/20/2019,1/2/2019,Databreach,https://www.zdnet.com/article/town-of-salem-game-suffers-data-breach-exposing-7-6-million-user-details/,5/29/2019,1,0,1,1,1
NewsApp,Flipboard,(to:FlipBoard)until:2019-6-5 since:2019-5-27,5/27/2019,5/6/2019,5/29/2019,Databreach,https://www.forbes.com/sites/daveywinder/2019/05/29/flipboard-confirms-it-was-hacked-twice-150m-users-at-risk-as-passwords-stolen/#5a0054996926,5/31/2019,0,1,0,2,2
FoodApp,DoorDash,"(Hack, OR data OR breach) (to:Doordash) until:2019-10-10 since:2019-09-25",9/20/2019,10/10/2019,26-Sep,Databreach,https://blog.doordash.com/important-security-notice-about-your-doordash-account-ddd90ddf5996#46h35gr24e,9/26/2019,1,1,0,4,4
Products,Adobe,"(Hack, OR data OR exposed OR breach) (to:Adobe) until:2019-11-10 since:2019-10-20",10/20/2019,0/11/2019,10/25/2019,Databreach,https://theblog.adobe.com/security-update/,10/25/2019,1,0,0,2,2
Financial Services,J.P. Morgan Chase,#Chase,8/16/2014,9/10/2014,8/28/2014,Databreach,"no evidence that account information for such affected customers – account numbers, passwords, user IDs, dates of birth or Social Security numbers – was compromised during this attack.""",8/30/2014,2,0,0,2,2
Food,Heineken,(to:Heineken) until:2018-03-30 since:2018-03-20,3/20/2018,3/30/2018,3/28/2018,Racial,https://www.nytimes.com/2018/03/28/business/media/heineken-racist-ad.html,3/28/2018,1,1,1,1,1
Health,Anthem,#AnthemInc,1/25/2015,2/15/2015,2/4/2015,Databreach,"Anthem’s chief executive, said he wanted “to personally apologize” for the security breach. He said his own personal information had been accessed and emphasized that the company was “working around the clock to do everything we can to further secure your data.”",2/4/2015,0,1,0,3,3
Security,RSA Security,#RSA and breach,3/8/2011,4/5/2011,3/18/2011,Databreach,"Mr. Coviello said that the company’s investigation had revealed that the intruder successfully stole digital information from the company that was related to RSA’s SecurID two-factor authentication products. He did not give precise details about the nature of the information, but said it could potentially reduce the effectiveness of the system in the face of a “broader attack.”",3/21/2011,3,0,0,15,12
