DAY,DATE,HOLIDAY
Sunday,2017-01-01,New Year's Day
Saturday,2017-01-14,Makar Sankranti / Pongal
Friday,2017-02-24,Maha Shivaratri
Monday,2017-03-13,Holi
Tuesday,2017-03-28,Ugadi / Gudi Padwa
Friday,2017-04-14,Good Friday
Monday,2017-08-14,Janmashtami
Friday,2017-08-25,Vinayaka Chaturthi
Saturday,2017-09-02,Bakri Id / Eid ul-Adha
Saturday,2017-09-30,Dussehra / Dasara
Sunday,2017-10-01,Muharram
Thursday,2017-10-19,Diwali / Deepavali
Monday,2017-12-25,Christmas
Monday,2018-01-01,New Year's Day
Sunday,2018-01-14,Makar Sankranti / Pongal
Wednesday,2018-02-14,Maha Shivaratri
Friday,2018-03-02,Holi
Sunday,2018-03-18,Ugadi / Gudi Padwa
Friday,2018-03-30,Good Friday
Wednesday,2018-08-22,Bakri Id / Eid ul-Adha
Monday,2018-09-03,Janmashtami
Thursday,2018-09-13,Vinayaka Chaturthi
Friday,2018-09-21,Muharram
Friday,2018-10-19,Dussehra / Dasara
Wednesday,2018-11-07,Diwali / Deepavali
Tuesday,2018-12-25,Christmas
Tuesday,2019-01-01,New Year's Day
Monday,2019-01-14,Makar Sankranti / Pongal
Monday,2019-03-04,Maha Shivaratri
Thursday,2019-03-21,Holi
Saturday,2019-04-06,Ugadi / Gudi Padwa
Friday,2019-04-19,Good Friday
Monday,2019-08-12,Bakri Id / Eid ul-Adha
Saturday,2019-08-24,Janmashtami
Monday,2019-09-02,Vinayaka Chaturthi
Tuesday,2019-09-10,Muharram
Tuesday,2019-10-08,Dussehra / Dasara
Sunday,2019-10-27,Diwali / Deepavali
Wednesday,2019-12-25,Christmas
